Journey,Step,Story,Acceptance Criteria,Epic,Priority,Story Points,MoSCoW,Reach,Impact,Confidence,Effort,RICE Score,Business Value
Onboarding Journey,Account Setup,As a new user I can create my account and profile so that I can start using the platform,"- User registration completes successfully
- Profile created with basic information
- Email verification sent and validated
- User assigned to primary context automatically",Epic 10: User System,P0,2,Must Have,1000,3,100%,1,3000.00,10
Onboarding Journey,First Context Creation,As a new user I can create my first context to organize my information so that I have a space to begin adding content,"- Context created with title and description
- Context visibility set to private by default
- User becomes context owner
- Primary context designated",Epic 5: Contexts & Emergent Architecture,P0,3,Must Have,1000,3,100%,1.5,2000.00,10
Onboarding Journey,Template Discovery,As a new user I can browse available context templates so that I can leverage best practices without starting from scratch,"- Template library displayed with categories
- Preview template structure and purpose
- Search templates by use case
- Template metadata shown (creator, usage count, ratings)",Epic 8: Templates & Docking,P0,2,Must Have,800,2,80%,1,1600.00,8
Onboarding Journey,First Template Application,As a new user I can apply a context template so that I can quickly set up my space with proven structures,"- Select template from library
- Template applied to context within 5 seconds
- Nodes and structure created correctly
- User guided through customization options",Epic 8: Templates & Docking,P0,3,Must Have,800,2,80%,1.5,1066.67,8
Node Creation Journey,Basic Node Creation,As a user I can create a default node with title and markdown body so that I can capture basic information,"- POST /api/v1/nodes returns 201 + node_id
- Node appears in DB and primary context
- Auto-generate unique slug
- Assign to primary context
- Choose existence type (Essential, Purposed, Functional, Temporary)
- Set node type (default, document, condition, start, end, custom)",Epic 1: Node Lifecycle & Versioning,P0,3,Must Have,1000,3,100%,1.5,2000.00,10
Node Creation Journey,Document Block Creation,As a user I can create a document node composed of ordered block nodes so that I can structure rich content,"- Document = ordered collection of block nodes
- Each paragraph/section = potential block node
- Rich-text editing with markdown
- Inline formatting and media
- Document stores ordered list of block IDs
- Renders with <200ms for 100 blocks",Epic 2: Document Block Nodes,P1,4,Should Have,700,2,80%,2,560.00,7
Node Creation Journey,Extract Block to Node,As a user I can extract a paragraph into a standalone node preserving backlinks so that I can create modular reusable content,"- Select block and ""Extract to Node""
- Creates new node with backlink automatically
- Original replaced with reference/embed
- Maintains document flow
- Operation returns new node_id
- Backlinks tracked automatically",Epic 2: Document Block Nodes,P1,3,Should Have,600,2,80%,1.5,640.00,7
Node Creation Journey,Add Data Elements,As a user I can add specific type data elements to nodes so that I can capture structured information,"- Add datatypes, interfaces, attributes, formulas
- Connect to slots
- Data elements are version-protected
- Support multiple data element types per node
- Validation on data element creation",Epic 1: Node Lifecycle & Versioning,P0,3,Must Have,900,3,100%,1.5,1800.00,9
Node Creation Journey,Node Duplication Detection,As a user the system detects duplicate nodes within same context and prompts me to merge so that I avoid information redundancy,"- Detect duplicates within same context
- Show similarity scores
- API returns 409 DUPLICATE with merge suggestions
- Cross-context duplicates = suggest relationships (not error)
- Bulk deduplication wizard available",Epic 1: Node Lifecycle & Versioning,P0,3,Must Have,800,2,80%,1.5,853.33,8
Wiring & Relationship Journey,Create Basic Wires,As a user I can connect two nodes with a wire and select relation type so that I can express relationships between information,"- Connect two nodes with wire
- POST /api/v1/wires creates edge
- Select relation type via attribute
- Set direction (one_way, two_way)
- Add wire metadata/description
- Visual wire creation in VizView
- VizView render shows the connection",Epic 3: Wiring & Relationship Networks,P0,3,Must Have,1000,3,100%,1.5,2000.00,10
Wiring & Relationship Journey,Wire Interaction States,As a user hovering a wire shows tooltip with attribute summary so that I can quickly understand relationships,"- Wire states: Selected / Unselected / Highlighted Selected / Highlighted Unselected
- Hover shows metadata tooltip within 150ms
- Tooltip shows title + relation_type
- State machine per wire (frontend)
- Animation transitions between states (<100ms)",Epic 3: Wiring & Relationship Networks,P0,2,Must Have,900,2,100%,1,1800.00,8
Wiring & Relationship Journey,Bulk Wiring Operations,As a user I can select multiple nodes and wire them to a target so that I can efficiently create relationship patterns,"- Select multiple nodes and wire to target
- Family/system relation propagation
- Wire templates for common patterns
- Undo/redo wire operations
- Bulk wire creation supports 100+ operations
- Preview before applying",Epic 3: Wiring & Relationship Networks,P0,5,Must Have,700,2,80%,2.5,448.00,8
Wiring & Relationship Journey,Navigate Wiring Networks,As a user I can follow wires to explore connected nodes so that I can discover related information,"- Follow wires to connected nodes
- View all incoming wires (backlinks)
- View all outgoing wires
- Filter wires by relation type
- Trace connection paths
- No orphaned wires (cascade deletion)",Epic 3: Wiring & Relationship Networks,P0,3,Must Have,900,3,100%,1.5,1800.00,9
Wiring & Relationship Journey,GUI-Based Attribution,As a user I can create connections using GUI interactions so that I can visually wire relationships,"- Visual wiring interface
- Drag-and-drop wire creation
- Visual feedback during wiring
- Connection preview before creation
- Support for multiple wire types",Epic 4: Attributes & Existence Information,P0,3,Must Have,900,2,100%,1.5,1200.00,9
