Journey,Step,Story,Priority,Status
Authentication,Register,As a new user I want to register with email/password so that I can create an account,Must Have,Implemented
Authentication,Register,As a new user I want to register with Google OAuth so that I can quickly create an account,Must Have,Implemented
Authentication,Login,As a returning user I want to login with email/password so that I can access my spaces,Must Have,Implemented
Authentication,Login,As a returning user I want to login with Google OAuth so that I can quickly access my account,Must Have,Implemented
Authentication,Logout,As a logged-in user I want to logout so that I can secure my account,Must Have,Implemented
Authentication,Session,As a user I want my session to persist so that I don't have to login repeatedly,Should Have,Implemented
Space Management,View Spaces,As a user I want to see all my spaces in a dashboard so that I can navigate to them,Must Have,Implemented
Space Management,Create Space,As a user I want to create a new space via modal so that I can organize my content,Must Have,Implemented
Space Management,Create Space,As a user I want to quick-create a space from sidebar so that I can rapidly add spaces,Should Have,Implemented
Space Management,Rename Space,As a user I want to rename a space via context menu so that I can update its name,Must Have,Implemented
Space Management,Delete Space,As a user I want to delete a space so that I can remove unused content,Must Have,Partial
Space Management,Share Space,As a user I want to share a space with collaborators so that we can work together,Should Have,Implemented
Space Management,Navigate Space,As a user I want to click a space card to enter it so that I can view its contents,Must Have,Implemented
Node Management,View Nodes,As a user I want to see all nodes in a space so that I can navigate my content,Must Have,Implemented
Node Management,Create Node,As a user I want to create a new node via modal so that I can add content,Must Have,Implemented
Node Management,Create Context,As a user I want to create a context so that I can group related content,Must Have,Implemented
Node Management,Edit Node,As a user I want to edit a node's title so that I can update its name,Must Have,Implemented
Node Management,Edit Node,As a user I want to edit a node's content with blocks so that I can add rich content,Must Have,Implemented
Node Management,Delete Node,As a user I want to delete a node so that I can remove unwanted content,Must Have,Implemented
Node Management,Rename Node,As a user I want to rename a node via context menu so that I can update its name,Should Have,Partial
Node Management,Navigate Node,As a user I want to click a node card to open the editor so that I can view/edit content,Must Have,Implemented
Content Editing,Add Block,As a user I want to add content blocks using slash commands so that I can structure my content,Must Have,Implemented
Content Editing,Edit Block,As a user I want to edit block content inline so that I can modify my content,Must Have,Implemented
Content Editing,Delete Block,As a user I want to delete a block so that I can remove unwanted content,Must Have,Implemented
Content Editing,Reorder Blocks,As a user I want to drag and drop blocks so that I can reorganize my content,Should Have,Implemented
Content Editing,Auto-save,As a user I want my changes to auto-save so that I don't lose my work,Must Have,Implemented
Content Editing,Add Heading,As a user I want to add heading blocks so that I can create document structure,Must Have,Implemented
Content Editing,Add List,As a user I want to add bullet/numbered lists so that I can organize items,Must Have,Implemented
Content Editing,Add Code,As a user I want to add code blocks with syntax highlighting so that I can document code,Should Have,Implemented
Content Editing,Add Image,As a user I want to add images so that I can include visual content,Should Have,Implemented
Content Editing,Add Quote,As a user I want to add quote blocks so that I can highlight important text,Should Have,Implemented
Content Editing,Add Divider,As a user I want to add dividers so that I can separate content sections,Should Have,Implemented
Content Editing,Add Callout,As a user I want to add callout blocks so that I can highlight information,Should Have,Implemented
Content Editing,Add Math,As a user I want to add math equations so that I can include formulas,Could Have,Implemented
Content Editing,Add Mermaid,As a user I want to add Mermaid diagrams so that I can create flowcharts,Could Have,Implemented
Navigation,Breadcrumb,As a user I want to see breadcrumb navigation so that I know my current location,Must Have,Implemented
Navigation,Back Button,As a user I want a back button so that I can return to previous pages,Must Have,Implemented
Navigation,Home Button,As a user I want a home button so that I can return to the spaces dashboard,Must Have,Implemented
Navigation,Sidebar,As a user I want a sidebar with tree navigation so that I can see content hierarchy,Must Have,Implemented
Navigation,Sidebar Toggle,As a user I want to toggle sidebar visibility so that I can maximize content area,Should Have,Implemented
Navigation,Tabs,As a user I want to open multiple tabs so that I can work on multiple items,Should Have,Implemented
Navigation,New Tab,As a user I want to open items in new tabs so that I can keep context,Should Have,Implemented
Search,Global Search,As a user I want to search across all content so that I can find specific items,Must Have,Implemented
Search,Filter Search,As a user I want to filter search by type so that I can narrow results,Should Have,Implemented
Search,Search Results,As a user I want to see search results with paths so that I can identify items,Must Have,Implemented
Search,Navigate Result,As a user I want to click search results to navigate so that I can access found items,Must Have,Implemented
Collaboration,Share Modal,As a user I want to share via modal so that I can invite collaborators,Should Have,Implemented
Collaboration,Invite by Email,As a user I want to invite by email so that I can add team members,Should Have,Implemented
Collaboration,Set Permissions,As a user I want to set permissions so that I can control access levels,Should Have,Implemented
Collaboration,View Collaborators,As a user I want to see current collaborators so that I know who has access,Should Have,Implemented
Collaboration,Remove Collaborator,As a user I want to remove collaborators so that I can revoke access,Should Have,Implemented
